username,text,replies,retweets,quotes,likes,url,timestamp,Merged Hashtags.1,Merged Tweet Mentions
@RManchalkar,"Y we and media are talking these idiots #Pakistan. I feel this is purposefully done..

Defocus idiots,  we are losing the charm and celebration of #G20Summit #G20India",0,1,0,0,https://twitter.com/RManchalkar/status/1615757454687768576,1/18/2023,#Pakistan #G20Summit #G20India               ,                                     
@nandtara,"India’s #Parliament witnessed a Modi spawn, abusing a Muslim Member of Parliament in the vilest terms.

2 senior Ministers of Modi sat behind the offender, laughing heartily to endorse these hateful slurs.

You @POTUS & @10DowningStreet attended #G20India with backslapping  camaraderie, succumbing meekly to the media ban and asked no questions of the #ManipurHorror leaving these attacks to proliferate.

Our sovereignty is supreme, but are you’ll willing to stand by in silence letting the great Indian democracy slide into this cauldron of Hindutva evil?? You have trade ban buttons to enforce. 

Kudos to @sardesairajdeep for this ????",2,44,0,56,https://twitter.com/nandtara/status/1705264622612381968,9/22/2023,#Parliament #G20India #ManipurHorror               ,POTUS 10DowningStreet sardesairajdeep                                   
@_DigitalIndia,"Have a look at the innovative and interactive Digital India Experience Zone that was organised by @GoI_MeitY and was a key attraction at the #G20Summit at #BharatMandapam in New Delhi.

#G20India #G20Bharat #DigitalIndia @g20org @AshwiniVaishnaw @Rajeev_GoI @abhish18",2,25,1,73,https://twitter.com/_DigitalIndia/status/1701126924494614624,9/11/2023,#G20Summit #BharatMandapam #G20India #G20Bharat #DigitalIndia             ,GoI_MeitY g20org AshwiniVaishnaw Rajeev_GoI abhish18                                 
@g20org,"Witnessing the magnificence of #Khajuraho!

#G20 Delegates at the 4th Infrastructure Working Group Meeting visited the Western Group of Temples. They were awed by the intricate carvings and sculptures of this @UNESCO World Heritage Site.

?? Have a look!

#G20India #IWG",4,28,1,226,https://twitter.com/g20org/status/1705166532953952454,9/22/2023,#Khajuraho #G20 #G20India #IWG              ,UNESCO                                     
@Geeta_Mohan,"When these children weren't visible in the streets of Delhi during #G20India, why are they back on the roads now?
We owe it to the children of our country... To provide them with safety, security, education, life with dignity.

@ArvindKejriwal @narendramodi
@smritiirani
#NationBuilding",14,23,2,117,https://twitter.com/Geeta_Mohan/status/1705158221206638986,9/22/2023,#G20India #NationBuilding                ,ArvindKejriwal narendramodi smritiirani                                   
@MinOfCultureGoI,"India’s biggest dancing festival is back!

Inviting all female artists to participate in the #VandeBharatamNrityaUtsav 2024 and win an opportunity to be a part of the upcoming Republic Day celebrations. 

#CultureUnitesAll #G20India #AmritMahotsav 

(1/2)",1,4,1,12,https://twitter.com/MinOfCultureGoI/status/1705199663325057419,9/22/2023,#VandeBharatamNrityaUtsav #CultureUnitesAll #G20India #AmritMahotsav              ,                                     
@MinOfCultureGoI,"Here's an artfully aesthetic & magical Madhubani painting by artist: __lalita_ray_artist__ (Instagram)

To feature on our page. Tag us in your artwork and use #BhartiyaChitrakala in the caption.

Follow our SM handles for more updates.

#CultureUnitesAll #G20India #AmritMahotsav",0,7,0,29,https://twitter.com/MinOfCultureGoI/status/1705094841754157199,9/22/2023,#BhartiyaChitrakala #CultureUnitesAll #G20India #AmritMahotsav              ,                                     
@MinOfCultureGoI,"To know more about India’s @g20org Culture Working Group, please visit unesco.org/en/sustainable-de…
#G20India #G20Culture #CultureUnitesAll #G20Summit2023",1,1,0,2,https://twitter.com/MinOfCultureGoI/status/1705202342759657626,9/22/2023,#G20India #G20Culture #CultureUnitesAll #G20Summit2023              ,g20org                                     
@MinOfCultureGoI,"Furthermore, standees with message on Swachhata Awareness were displayed at CSL, Shastri Bhawan followed by Shramdan/ cleanliness drive outside the premises.  Take a look of the activities carried out by the Ministry of Culture.  

#CultureUnitesAll #G20India  

(2/3)",1,3,0,6,https://twitter.com/MinOfCultureGoI/status/1705236552874353104,9/22/2023,#CultureUnitesAll #G20India                ,                                     
@MinOfCultureGoI,"As a part of SHS 2023, Joint Secretary, General Administration, Ministry of Culture visited the departmental record room of the Ministry to inspect the physical files of various sections due for review and weeding out.

#CultureUnitesAll #G20India #AmritMahotsav 

(1/3)",2,6,0,17,https://twitter.com/MinOfCultureGoI/status/1705236547417641035,9/22/2023,#CultureUnitesAll #G20India #AmritMahotsav               ,                                     
@MinOfCultureGoI,"Don't miss out on this weekend of exploration and enlightenment! Mark your calendars and discover the world of art, science, and culture.

Join us for these incredible events this weekend!

See you there!

#CultureUnitesAll #AzadiKaAmritMahotsav #G20India",1,3,0,7,https://twitter.com/MinOfCultureGoI/status/1705258535310024914,9/22/2023,#CultureUnitesAll #AzadiKaAmritMahotsav #G20India               ,                                     
